post_id,caption,hashtags,date,likes
ig001,"20% OFF on all pizzas this weekend because honestly who wants to cook in this heat? Grab your gang and slide in or find us on Foodpanda.",,2026-06-14,0
ig002,"Tum mai aur Point. ⚽✨ FIFA World Cup screenings start this Friday night! Big screen cold drinks and unmatched energy. Spaces fill up fast so bring your crew early.",,2026-06-18,0
ig003,"Maybe you just stop by for a quick coffee and leave with a favorite table a familiar face or a story to tell. Our espresso machine is fired up. Come say hi.",,2026-06-22,0
ig004,"Unwind and unlock your creativity. 🎨✨ Slots for this Thursday's 'Sip & Paint' evening are officially open! Bring a friend mocktails and canvases are on us.",sip_and_paint,2026-06-24,0
ig005,"Breakfast platter hits different when the sun's not fully blasting yet. Weekend brunch starts at 9 AM tomorrow. See you at your usual table?",,2026-06-27,0
ig006,"Escape the Lahore heatwave inside our fully chilled café today! 🧊 Grab an iced Spanish latte chill with our fast wifi and just get some work done.",,2026-06-29,0
ig007,"Get your hands dirty this Saturday! 🏺 We're hosting an exclusive Ceramic Pottery Workshop. Perfect music great coffee and beautiful community vibes.",,2026-07-01,0
ig008,"Coffee is always best at the Point. Today we're brewing a beautiful Ethiopian single-origin with heavy blueberry notes. Ask our baristas about it!",,2026-07-03,0
ig009,"Honestly our baristas are just so cool. Catch them behind the bar dropping absolute art on every cup today. Leave a ☕ to show them some love!",,2026-07-05,0
ig010,"Crispy chewy artisanal wood-fired perfection. Margherita nights hit different when you need a break from life. Drop by for dinner.",,2026-07-07,0
ig011,"Bring your furry friends along! Our outdoor seating patio is 100% pet-friendly and we have fresh water bowls ready for your pups.",,2026-07-09,0
ig012,"Mid-week slump hitting hard? Our smash burgers are handcrafted to fuel your hustle. Give us a quick call to order ahead for lightning-fast pickup.",,2026-07-11,0